nimi_suomi,laji,laji_selite
Pipettikuja,"1",Katu
Akonlahdenkuja,"1",Katu
Raappavuorentie,"1",Katu
Tattarikatu,"1",Katu
Hevonojantie,"1",Katu
Ratasmyllynraitti,"1",Katu
Elisabeth Kochin tie,"1",Katu
Katarina Stenbockin katu,"1",Katu
Aadolfinkatu,"1",Katu
Aamukasteenkuja,"1",Katu
Aamuruskontie,"1",Katu
Aapontie,"1",Katu
Aarholmankuja,"1",Katu
Aarrekuja,"1",Katu
Aarteenetsijänkuja,"1",Katu
Aarteenetsijäntie,"1",Katu
Aavasaksantie,"1",Katu
Abraham Wetterin tie,"1",Katu
Abrahaminkatu,"1",Katu
Adalmiinankatu,"1",Katu
Adolf Lindforsin tie,"1",Katu
Agnetankuja,"1",Katu
Agricolankatu,"1",Katu
Agricolankuja,"1",Katu
Agronominkatu,"1",Katu
Ahdekaunokintie,"1",Katu
Ahjokuja,"1",Katu
Ahmatie,"1",Katu
Ahomäenkuja,"1",Katu
Ahomäentie,"1",Katu
Ahvenkoskenkuja,"1",Katu
Ahvenkoskenpolku,"1",Katu
Aidasmäentie,"1",Katu
Aino Acktén tie,"1",Katu
Karviaistie,"1",Katu
Kasarmikatu,"1",Katu
Kasemattikuja,"1",Katu
Kaskenpolttajantie,"1",Katu
Kaskiauranpolku,"1",Katu
Kaskisaarentie,"1",Katu
Kaskitie,"1",Katu
Kasperinkuja,"1",Katu
Kassaratie,"1",Katu
Kastanjatie,"1",Katu
Kastelholmantie,"1",Katu
Kasuunikuja,"1",Katu
Kasöörinkatu,"1",Katu
Katajaharjuntie,"1",Katu
Katajamäentie,"1",Katu
Katajanokankatu,"1",Katu
Katajanokanranta,"1",Katu
Katajapolku,"1",Katu
Katariina Saksilaisen katu,"1",Katu
Katariinankatu,"1",Katu
Katiskatie,"1",Katu
Kauhavankuja,"1",Katu
Kaukopääntie,"1",Katu
Kaunismäenkuja,"1",Katu
Kaunispääntie,"1",Katu
Kaupintie,"1",Katu
Kauppakaarre,"1",Katu
Kauppakartanonkatu,"1",Katu
Kauppakartanonkuja,"1",Katu
Kauppalankuja,"1",Katu
Kauppalantie,"1",Katu
Kauppamyllyntie,"1",Katu
Kauppaneuvoksentie,"1",Katu
Kauppiaankatu,"1",Katu
Kauriintie,"1",Katu
Kaustakuja,"1",Katu
Kaustisentie,"1",Katu
Kehruutie,"1",Katu
Kehräkuja,"1",Katu
Kehtotie,"1",Katu
Kehäkukanpolku,"1",Katu
Kehäkukantie,"1",Katu
Keijontie,"1",Katu
Keijukaistenpolku,"1",Katu
Keinulaudantie,"1",Katu
Keinutie,"1",Katu
Keiteleentie,"1",Katu
Kekomäentie,"1",Katu
Kellaripellonkuja,"1",Katu
Kellaritie,"1",Katu
Kellosaarenkatu,"1",Katu
Kellosaarenranta,"1",Katu
Keltanotie,"1",Katu
Kemiönkuja,"1",Katu
Kengittäjäntie,"1",Katu
Kennotie,"1",Katu
Kenttäkuja,"1",Katu
Kenttätie,"1",Katu
Keriharju,"1",Katu
Kertojantie,"1",Katu
Kerttulinkuja,"1",Katu
Kerttusentie,"1",Katu
Kesantokuja,"1",Katu
Kesantotie,"1",Katu
Keskiyöntie,"1",Katu
Keskuskatu,"1",Katu
Kesäkatu,"1",Katu
Ketjukuja,"1",Katu
Ketokivenkaari,"1",Katu
Ketokiventie,"1",Katu
Kettutie,"1",Katu
Keulakuvantie,"1",Katu
Keulatie,"1",Katu
Keuruuntie,"1",Katu
Kevätkatu,"1",Katu
Kielopolku,"1",Katu
Kiertotähdenkuja,"1",Katu
Kiertotähdenpolku,"1",Katu
Kiertotähdentie,"1",Katu
Kiesitie,"1",Katu
Kiiliänkuja,"1",Katu
Kiillekuja,"1",Katu
Kiilletie,"1",Katu
Kiitäjänkuja,"1",Katu
Kiitäjäntie,"1",Katu
Killingholmankuja,"1",Katu
Killinkuja,"1",Katu
Kilpolantie,"1",Katu
Kimalaiskuja,"1",Katu
Kimmontie,"1",Katu
Kimpitie,"1",Katu
Kinaporinkatu,"1",Katu
Kinkeripolku,"1",Katu
Kinnarinkuja,"1",Katu
Kipparlahdensilmukka,"1",Katu
Kirjatyöntekijänkatu,"1",Katu
Kirjokallionkuja,"1",Katu
Kirjokalliontie,"1",Katu
